['0.00', '3.30', '0.00', '3.30', '1.82', '1.11', '0.81']
['0.00', '3.30', '0.00', '3.30', '1.82', '1.08', '0.80']
['0.00', '3.30', '0.00', '3.30', '1.82', '1.08', '0.79']
['0.00', '3.30', '0.00', '3.30', '1.83', '1.10', '0.81']
['0.00', '3.30', '0.00', '3.30', '1.82', '1.11', '0.81']
['0.00', '3.30', '0.00', '3.30', '1.82', '1.08', '0.80']
['0.00', '3.30', '0.00', '3.30', '1.82', '1.07', '0.80']
['0.00', '3.30', '0.00', '3.30', '1.83', '1.10', '0.80']
['0.00', '3.30', '0.00', '3.30', '1.84', '1.11', '0.81']
['0.00', '3.30', '0.00', '3.30', '1.82', '1.08', '0.80']
['0.00', '3.30', '0.00', '3.30', '1.82', '1.09', '0.79']
['0.00', '3.30', '0.00', '3.30', '1.83', '1.09', '0.80']
['0.00', '3.30', '0.00', '3.30', '1.83', '1.11', '0.80']
['0.00', '3.30', '0.00', '3.30', '1.82', '1.08', '0.80']
['0.00', '3.30', '0.00', '3.30', '1.82', '1.09', '0.80']
['0.00', '3.30', '0.00', '3.30', '1.83', '1.10', '0.81']
['0.00', '3.30', '0.00', '3.30', '1.83', '1.11', '0.81']
['0.00', '3.30', '0.00', '3.30', '1.82', '1.08', '0.80']
['0.00', '3.30', '0.00', '3.30', '1.82', '1.08', '0.79']
['0.00', '3.30', '0.00', '3.30', '1.83', '1.10', '0.81']
['0.00', '3.30', '0.00', '3.30', '1.83', '1.10', '0.81']
['0.00', '3.30', '0.00', '3.30', '1.82', '1.09', '0.79']
['0.00', '3.30', '0.00', '3.30', '1.81', '1.08', '0.80']
['0.00', '3.30', '0.00', '3.30', '1.83', '1.10', '0.81']
['0.00', '3.30', '0.00', '3.30', '1.83', '1.11', '0.81']
['0.00', '3.30', '0.00', '3.30', '1.82', '1.08', '0.80']
['0.00', '3.30', '0.00', '3.30', '1.82', '1.09', '0.80']
