['0.02', '0.11', '0.32', '0.37', '0.37', '0.72', '1.29']
['0.01', '0.07', '0.24', '0.22', '0.45', '0.54', '0.64']
['0.01', '0.06', '0.24', '0.22', '0.42', '0.50', '0.48']
['0.01', '0.06', '0.23', '0.21', '0.40', '0.48', '0.43']
['0.01', '0.06', '0.23', '0.21', '0.40', '0.48', '0.40']
['0.01', '0.06', '0.23', '0.21', '0.39', '0.48', '0.40']
['0.00', '0.06', '0.23', '0.21', '0.39', '0.48', '0.39']
['0.01', '0.06', '0.23', '0.21', '0.39', '0.47', '0.39']
['0.00', '0.06', '0.23', '0.21', '0.39', '0.48', '0.39']
['0.00', '0.06', '0.23', '0.21', '0.39', '0.48', '0.39']
['0.00', '0.06', '0.23', '0.20', '0.39', '0.48', '0.39']
['0.00', '0.06', '0.24', '0.21', '0.39', '0.47', '0.38']
['0.00', '0.06', '0.23', '0.20', '0.39', '0.48', '0.39']
['0.01', '0.06', '0.23', '0.21', '0.39', '0.48', '0.39']
['0.00', '0.06', '0.23', '0.20', '0.39', '0.48', '0.39']
['0.00', '0.06', '0.23', '0.20', '0.39', '0.48', '0.38']
['0.01', '0.06', '0.23', '0.20', '0.39', '0.48', '0.39']
['0.01', '0.06', '0.23', '0.20', '0.39', '0.47', '0.38']
['0.01', '0.06', '0.23', '0.20', '0.39', '0.48', '0.38']
['0.00', '0.06', '0.23', '0.20', '0.39', '0.48', '0.39']
['0.00', '0.06', '0.23', '0.20', '0.39', '0.48', '0.39']
['0.00', '0.06', '0.23', '0.20', '0.39', '0.47', '0.38']
['0.00', '0.06', '0.23', '0.20', '0.39', '0.47', '0.39']
['0.00', '0.06', '0.23', '0.20', '0.39', '0.48', '0.38']
['0.00', '0.06', '0.23', '0.20', '0.39', '0.48', '0.38']
['0.00', '0.06', '0.23', '0.20', '0.39', '0.48', '0.38']
['0.00', '0.06', '0.23', '0.20', '0.39', '0.48', '0.38']
['0.00', '0.06', '0.23', '0.20', '0.39', '0.48', '0.38']
['0.01', '0.06', '0.23', '0.20', '0.39', '0.47', '0.38']
['0.01', '0.06', '0.23', '0.20', '0.39', '0.48', '0.38']
['0.00', '0.06', '0.23', '0.20', '0.39', '0.48', '0.38']
['0.01', '0.06', '0.23', '0.20', '0.39', '0.48', '0.38']
['0.01', '0.06', '0.23', '0.20', '0.39', '0.48', '0.38']
['0.01', '0.06', '0.23', '0.20', '0.39', '0.47', '0.38']
['0.01', '0.06', '0.23', '0.20', '0.39', '0.47', '0.38']
['0.01', '0.06', '0.23', '0.20', '0.39', '0.48', '0.38']
['0.01', '0.06', '0.23', '0.20', '0.39', '0.48', '0.38']
['0.01', '0.06', '0.23', '0.20', '0.39', '0.47', '0.38']
['0.00', '0.06', '0.23', '0.20', '0.39', '0.48', '0.38']
['0.01', '0.06', '0.23', '0.20', '0.39', '0.48', '0.38']
['0.00', '0.06', '0.23', '0.20', '0.39', '0.48', '0.38']
['0.00', '0.06', '0.23', '0.20', '0.39', '0.47', '0.38']
['0.00', '0.06', '0.23', '0.20', '0.39', '0.47', '0.38']
['0.00', '0.06', '0.23', '0.20', '0.39', '0.47', '0.38']
['0.00', '0.06', '0.23', '0.20', '0.39', '0.48', '0.38']
['0.01', '0.06', '0.23', '0.20', '0.39', '0.47', '0.38']
['0.01', '0.06', '0.23', '0.20', '0.39', '0.47', '0.38']
['0.01', '0.06', '0.23', '0.20', '0.39', '0.47', '0.38']
['0.01', '0.05', '0.23', '0.20', '0.39', '0.47', '0.38']
['0.00', '0.06', '0.24', '0.20', '0.39', '0.47', '0.38']
['0.00', '0.05', '0.23', '0.20', '0.39', '0.47', '0.37']
['0.00', '0.06', '0.23', '0.20', '0.38', '0.47', '0.37']
['0.00', '0.05', '0.23', '0.20', '0.39', '0.47', '0.37']
['0.00', '0.06', '0.23', '0.20', '0.38', '0.47', '0.37']
['0.00', '0.06', '0.23', '0.20', '0.38', '0.48', '0.37']
['0.01', '0.06', '0.24', '0.20', '0.38', '0.47', '0.37']
['0.00', '0.06', '0.23', '0.20', '0.38', '0.47', '0.37']
['0.00', '0.05', '0.23', '0.20', '0.39', '0.47', '0.38']
['0.00', '0.05', '0.23', '0.20', '0.39', '0.47', '0.38']
['0.00', '0.05', '0.23', '0.20', '0.39', '0.47', '0.38']
['0.00', '0.05', '0.23', '0.20', '0.39', '0.47', '0.38']
['0.01', '0.06', '0.23', '0.20', '0.38', '0.47', '0.37']
['0.00', '0.05', '0.23', '0.20', '0.39', '0.47', '0.37']
['0.00', '0.05', '0.23', '0.20', '0.38', '0.47', '0.37']
['0.00', '0.05', '0.23', '0.20', '0.39', '0.47', '0.37']
['0.00', '0.06', '0.23', '0.20', '0.38', '0.47', '0.37']
['0.00', '0.05', '0.23', '0.20', '0.39', '0.47', '0.37']
['0.00', '0.05', '0.23', '0.20', '0.39', '0.47', '0.37']
['0.00', '0.05', '0.23', '0.20', '0.39', '0.47', '0.37']
['0.00', '0.05', '0.23', '0.20', '0.39', '0.47', '0.37']
['0.00', '0.05', '0.23', '0.20', '0.38', '0.47', '0.37']
['0.00', '0.05', '0.23', '0.20', '0.38', '0.47', '0.37']
['0.00', '0.05', '0.23', '0.20', '0.39', '0.47', '0.37']
['0.00', '0.05', '0.23', '0.20', '0.38', '0.47', '0.37']
['0.00', '0.05', '0.23', '0.20', '0.39', '0.47', '0.37']
['0.00', '0.05', '0.23', '0.20', '0.38', '0.47', '0.37']
['0.01', '0.05', '0.24', '0.20', '0.38', '0.47', '0.37']
['0.00', '0.05', '0.23', '0.19', '0.38', '0.47', '0.37']
['0.00', '0.05', '0.23', '0.20', '0.39', '0.47', '0.37']
['0.00', '0.05', '0.23', '0.20', '0.39', '0.47', '0.37']
['0.00', '0.05', '0.23', '0.19', '0.38', '0.47', '0.37']
['0.00', '0.06', '0.23', '0.20', '0.38', '0.47', '0.37']
['0.00', '0.05', '0.23', '0.20', '0.39', '0.48', '0.37']
['0.00', '0.05', '0.24', '0.20', '0.39', '0.47', '0.37']
['0.01', '0.06', '0.23', '0.20', '0.38', '0.47', '0.37']
['0.01', '0.06', '0.24', '0.20', '0.39', '0.47', '0.37']
['0.01', '0.06', '0.24', '0.20', '0.38', '0.47', '0.37']
['0.01', '0.05', '0.23', '0.20', '0.39', '0.47', '0.37']
['0.00', '0.06', '0.23', '0.20', '0.39', '0.47', '0.37']
['0.00', '0.05', '0.23', '0.20', '0.39', '0.47', '0.37']
['0.00', '0.06', '0.23', '0.20', '0.39', '0.47', '0.37']
['0.00', '0.06', '0.23', '0.20', '0.39', '0.47', '0.37']
['0.01', '0.06', '0.23', '0.20', '0.39', '0.47', '0.37']
['0.00', '0.05', '0.23', '0.20', '0.39', '0.47', '0.37']
['0.00', '0.05', '0.24', '0.20', '0.39', '0.47', '0.37']
['0.00', '0.05', '0.23', '0.20', '0.39', '0.47', '0.37']
['0.00', '0.05', '0.23', '0.20', '0.39', '0.47', '0.37']
['0.00', '0.05', '0.23', '0.20', '0.39', '0.47', '0.37']
['0.00', '0.05', '0.23', '0.20', '0.39', '0.47', '0.37']
['0.00', '0.05', '0.24', '0.20', '0.39', '0.47', '0.37']
['0.00', '0.05', '0.24', '0.20', '0.39', '0.47', '0.37']
['0.00', '0.05', '0.23', '0.20', '0.39', '0.47', '0.37']
['0.00', '0.05', '0.23', '0.20', '0.39', '0.47', '0.37']
['0.00', '0.05', '0.23', '0.20', '0.38', '0.47', '0.37']
['0.00', '0.05', '0.23', '0.20', '0.39', '0.47', '0.37']
['0.00', '0.05', '0.23', '0.20', '0.38', '0.47', '0.37']
['0.00', '0.05', '0.23', '0.20', '0.39', '0.47', '0.37']
['0.00', '0.05', '0.23', '0.20', '0.39', '0.47', '0.37']
['0.00', '0.05', '0.23', '0.20', '0.38', '0.47', '0.37']
['0.00', '0.05', '0.23', '0.20', '0.39', '0.47', '0.37']
['0.00', '0.05', '0.23', '0.20', '0.39', '0.47', '0.37']
['0.00', '0.05', '0.23', '0.20', '0.38', '0.47', '0.37']
['0.00', '0.05', '0.23', '0.20', '0.39', '0.47', '0.37']
['0.00', '0.05', '0.23', '0.20', '0.38', '0.47', '0.36']
['0.00', '0.05', '0.24', '0.20', '0.38', '0.47', '0.37']
['0.00', '0.05', '0.24', '0.20', '0.39', '0.47', '0.37']
['0.00', '0.05', '0.24', '0.20', '0.39', '0.47', '0.37']
['0.00', '0.05', '0.23', '0.20', '0.38', '0.47', '0.36']
['0.00', '0.05', '0.23', '0.20', '0.38', '0.47', '0.37']
