1526,801,695,336,287,431,0
2941,1211,734,117,219,391,0
3423,1339,741,57,198,367,0
3098,1298,741,43,195,358,0
1355,690,533,0,158,318,0
1722,806,620,109,263,429,0
2891,1153,677,63,214,384,0
3413,1282,698,43,193,361,0
3066,1243,699,27,194,359,0
1348,655,503,0,159,317,0
579,391,422,3,161,320,0
896,425,402,0,162,312,0
2213,867,559,50,197,346,0
3079,1127,603,39,199,340,0
3438,1271,663,55,208,359,0
2147,899,572,19,184,334,0
768,460,425,5,165,313,0
624,379,386,0,162,310,0
1245,523,414,22,176,320,0
2544,939,549,47,186,333,0
3395,1219,629,65,199,347,0
3347,1281,687,82,211,368,0
1643,704,485,6,149,304,0
672,397,399,14,160,308,0
652,336,352,0,140,283,0
1941,769,502,80,200,346,0
2981,1090,592,74,191,336,0
3443,1235,627,64,192,336,0
2887,1136,623,53,181,335,0
1186,577,454,16,155,304,0
557,353,386,27,176,320,0
971,432,385,26,166,310,0
2303,880,533,87,191,340,0
3085,1114,591,71,181,333,0
3397,1267,657,96,206,356,0
1928,803,523,47,171,318,0
721,410,400,34,151,307,0
639,365,381,41,163,307,0
1380,561,427,43,178,320,0
2651,973,551,69,189,336,0
3408,1221,629,90,201,347,0
3199,1244,673,96,209,363,0
1472,647,464,29,151,304,0
624,382,389,37,161,307,0
685,336,346,21,143,280,0
2071,811,518,91,208,352,0
3047,1104,592,81,197,339,0
3471,1232,631,83,192,340,0
2770,1088,610,80,179,331,0
1104,533,432,27,153,314,0
566,346,384,49,176,320,0
1079,462,395,46,171,318,0
2402,911,535,87,192,323,0
3147,1119,595,78,187,334,0
3466,1273,667,118,209,357,0
1781,727,490,44,162,309,0
661,397,386,38,163,310,0
641,351,359,21,149,292,0
1446,585,430,61,177,320,0
2891,1062,578,101,208,349,0
3365,1216,627,97,195,359,0
2995,1190,649,97,197,343,0
1298,607,460,48,161,307,0
601,368,384,45,161,305,0
902,409,381,53,176,313,0
2251,871,530,107,199,344,0
3115,1125,592,87,187,334,0
3491,1270,657,116,209,356,0
2602,1035,589,69,176,325,0
782,442,412,46,171,314,0
575,357,376,39,169,311,0
1197,521,417,71,186,325,0
2524,935,533,82,192,335,0
3200,1183,598,89,193,336,0
3327,1275,676,121,224,371,0
1590,690,475,38,154,304,0
625,384,391,38,164,306,0
633,326,341,27,144,286,0
1570,623,437,70,183,321,0
2915,1066,578,105,207,343,0
3367,1210,631,106,195,336,0
2899,1110,619,80,194,337,0
1163,564,439,33,160,307,0
571,347,379,48,164,306,0
977,432,386,58,180,315,0
2355,893,534,100,208,358,0
3144,1135,593,86,192,333,0
3470,1287,665,107,213,354,0
1935,795,508,47,169,309,0
714,411,402,48,172,310,0
621,361,380,51,170,308,0
1371,569,430,72,186,323,0
2691,976,555,94,196,337,0
3445,1218,631,113,209,355,0
3184,1237,669,113,217,360,0
1406,619,463,38,160,298,0
603,354,387,49,162,304,0
673,333,341,35,150,290,0
2057,799,506,119,210,354,0
3019,1093,585,101,195,337,0
3435,1219,631,105,198,343,0
2693,1072,601,80,185,334,0
1045,522,425,35,163,304,0
559,351,383,54,180,325,0
1091,479,401,63,176,315,0
2421,903,529,83,190,331,0
3167,1147,598,89,190,334,0
3456,1313,691,128,222,369,0
1758,774,528,55,167,308,0
706,432,428,47,174,326,0
694,405,398,48,161,316,0
1535,665,480,81,192,336,0
2754,1058,605,112,206,352,0
3374,1269,686,127,217,368,0
3013,1240,697,112,199,353,0
1267,650,503,58,170,321,0
547,398,430,49,170,320,0
669,386,393,46,161,299,0
2209,911,573,124,225,365,0
3099,1166,651,115,207,347,0
3445,1322,717,136,224,371,0
