['0.72', '3.30', '3.30', '3.30', '1.40', '0.90', '0.67']
['0.00', '3.30', '0.00', '3.30', '1.74', '1.01', '0.71']
['0.00', '3.30', '0.00', '0.84', '1.06', '0.67', '0.59']
['3.30', '3.30', '3.30', '0.00', '0.28', '0.47', '0.52']
['0.29', '3.30', '3.30', '3.30', '1.46', '0.92', '0.68']
['0.00', '3.30', '0.00', '3.30', '1.74', '1.01', '0.71']
['0.00', '3.30', '0.00', '0.19', '0.84', '0.62', '0.57']
['3.30', '2.13', '3.30', '0.00', '0.27', '0.46', '0.51']
['0.95', '3.30', '3.30', '3.30', '1.41', '0.91', '0.66']
['0.00', '3.30', '0.00', '3.30', '1.73', '1.01', '0.71']
['0.00', '3.30', '0.00', '0.31', '0.88', '0.63', '0.56']
['3.30', '3.30', '3.30', '0.00', '0.27', '0.46', '0.51']
['0.30', '3.30', '3.30', '3.30', '1.43', '0.92', '0.66']
['0.00', '3.30', '0.00', '3.30', '1.74', '1.01', '0.71']
['0.00', '3.30', '0.00', '0.74', '1.04', '0.66', '0.59']
['3.30', '1.82', '3.30', '0.00', '0.27', '0.46', '0.51']
['0.90', '3.30', '3.30', '3.30', '1.46', '0.93', '0.67']
['0.00', '3.30', '0.00', '3.30', '1.75', '1.02', '0.71']
['0.00', '3.30', '0.00', '0.00', '0.75', '0.58', '0.56']
['3.30', '1.18', '3.30', '0.00', '0.26', '0.45', '0.51']
['0.22', '3.30', '3.30', '3.30', '1.39', '0.92', '0.67']
['0.00', '3.30', '0.00', '3.30', '1.72', '1.01', '0.71']
['0.00', '3.30', '0.00', '0.38', '0.90', '0.63', '0.57']
['3.30', '0.94', '3.30', '0.00', '0.27', '0.46', '0.51']
['0.31', '3.30', '3.30', '3.30', '1.48', '0.93', '0.67']
['0.00', '3.30', '0.00', '3.30', '1.76', '1.02', '0.71']
['0.00', '3.30', '0.00', '0.00', '0.69', '0.58', '0.55']
['3.30', '0.64', '3.30', '0.00', '0.26', '0.45', '0.50']
['0.30', '3.30', '3.30', '3.30', '1.36', '0.90', '0.68']
['0.00', '3.30', '0.00', '3.30', '1.69', '1.01', '0.72']
['0.00', '3.30', '0.00', '0.00', '0.77', '0.59', '0.57']
['3.30', '2.58', '3.30', '0.00', '0.27', '0.46', '0.50']
['0.16', '3.30', '3.30', '3.30', '1.46', '0.92', '0.68']
['0.00', '3.30', '0.00', '3.30', '1.75', '1.02', '0.72']
['0.00', '3.30', '0.00', '0.00', '0.69', '0.57', '0.55']
['3.30', '3.30', '3.30', '0.00', '0.27', '0.46', '0.50']
['0.47', '3.30', '3.30', '3.30', '1.42', '0.92', '0.66']
['0.00', '3.30', '0.00', '3.30', '1.73', '1.01', '0.71']
['0.00', '3.30', '0.00', '0.00', '0.73', '0.58', '0.57']
['3.30', '2.38', '3.30', '0.00', '0.27', '0.46', '0.51']
['0.19', '3.30', '3.30', '3.30', '1.45', '0.92', '0.67']
['0.00', '3.30', '0.00', '3.30', '1.74', '1.02', '0.72']
['0.00', '3.30', '0.00', '0.00', '0.71', '0.57', '0.57']
['3.30', '3.30', '3.30', '0.00', '0.27', '0.46', '0.51']
['0.80', '3.30', '3.30', '3.30', '1.44', '0.93', '0.67']
['0.00', '3.30', '0.00', '3.30', '1.72', '1.01', '0.71']
['0.00', '3.30', '0.00', '0.00', '0.65', '0.56', '0.56']
['3.30', '3.30', '3.30', '0.00', '0.26', '0.45', '0.51']
['0.00', '3.30', '3.30', '3.30', '1.41', '0.91', '0.68']
['0.00', '3.30', '0.00', '3.30', '1.73', '1.02', '0.71']
['0.00', '3.30', '0.00', '0.00', '0.68', '0.57', '0.56']
['3.30', '1.84', '3.30', '0.00', '0.26', '0.45', '0.51']
['0.73', '3.30', '3.30', '3.30', '1.46', '0.94', '0.67']
['0.00', '3.30', '0.00', '3.30', '1.72', '1.01', '0.71']
['0.00', '3.30', '0.00', '0.00', '0.60', '0.55', '0.55']
['3.30', '3.24', '3.30', '0.00', '0.25', '0.45', '0.50']
['0.03', '3.30', '3.30', '3.30', '1.40', '0.91', '0.68']
['0.00', '3.30', '0.00', '3.30', '1.70', '1.01', '0.71']
['0.00', '3.30', '0.00', '0.00', '0.78', '0.61', '0.56']
['3.30', '3.30', '3.30', '0.00', '0.27', '0.45', '0.51']
['0.17', '3.30', '3.30', '3.30', '1.53', '0.93', '0.68']
['0.00', '3.30', '0.00', '3.30', '1.77', '1.02', '0.71']
['0.00', '3.30', '0.00', '0.00', '0.61', '0.55', '0.55']
['3.30', '3.30', '3.30', '0.00', '0.26', '0.45', '0.51']
['0.00', '3.30', '3.30', '3.30', '1.43', '0.91', '0.67']
['0.00', '3.30', '0.00', '3.30', '1.71', '1.01', '0.71']
['0.00', '3.30', '0.00', '0.00', '0.61', '0.54', '0.55']
['3.30', '3.30', '3.30', '0.00', '0.26', '0.45', '0.52']
['0.08', '3.30', '3.30', '3.30', '1.46', '0.92', '0.68']
['0.00', '3.30', '0.00', '3.30', '1.72', '1.02', '0.71']
['0.00', '3.30', '0.00', '0.00', '0.58', '0.55', '0.55']
['3.30', '1.15', '3.30', '0.00', '0.25', '0.45', '0.51']
['0.33', '3.30', '3.30', '3.30', '1.43', '0.91', '0.67']
['0.00', '3.30', '0.00', '3.30', '1.70', '1.01', '0.71']
['0.00', '3.30', '0.00', '0.00', '0.66', '0.57', '0.55']
['3.30', '0.52', '3.30', '0.00', '0.25', '0.45', '0.51']
['0.00', '3.30', '3.30', '3.30', '1.49', '0.94', '0.67']
['0.00', '3.30', '0.00', '3.30', '1.75', '1.02', '0.71']
['0.00', '3.30', '0.00', '0.00', '0.65', '0.57', '0.55']
['3.30', '1.01', '3.30', '0.00', '0.25', '0.45', '0.51']
['0.49', '3.30', '3.30', '3.30', '1.50', '0.94', '0.67']
['0.00', '3.30', '0.00', '3.30', '1.74', '1.02', '0.71']
['0.00', '3.30', '0.00', '0.00', '0.57', '0.54', '0.55']
['3.30', '0.00', '3.30', '0.00', '0.24', '0.45', '0.51']
['0.00', '3.30', '3.30', '3.30', '1.44', '0.91', '0.67']
['0.00', '3.30', '0.00', '3.30', '1.71', '1.01', '0.71']
['0.00', '3.30', '0.00', '0.00', '0.53', '0.53', '0.55']
['3.30', '0.00', '3.30', '0.00', '0.24', '0.45', '0.51']
['0.00', '3.30', '3.30', '3.30', '1.48', '0.93', '0.68']
['0.00', '3.30', '0.00', '3.30', '1.72', '1.01', '0.71']
['0.00', '3.30', '0.00', '0.00', '0.61', '0.56', '0.55']
['3.30', '0.00', '3.30', '0.00', '0.25', '0.45', '0.51']
['0.00', '3.30', '3.30', '3.30', '1.49', '0.93', '0.68']
['0.00', '3.30', '0.00', '3.30', '1.74', '1.02', '0.71']
['0.00', '3.30', '0.00', '0.00', '0.60', '0.55', '0.55']
['3.30', '3.30', '3.30', '0.00', '0.26', '0.46', '0.51']
['0.00', '3.30', '3.30', '3.30', '1.54', '0.95', '0.67']
['0.00', '3.30', '0.00', '3.30', '1.76', '1.02', '0.71']
['0.00', '3.30', '0.00', '0.00', '0.59', '0.55', '0.55']
['3.30', '3.30', '3.30', '0.00', '0.26', '0.45', '0.51']
['0.01', '3.30', '3.30', '3.30', '1.52', '0.94', '0.68']
['0.00', '3.30', '0.00', '3.30', '1.75', '1.02', '0.71']
['0.00', '3.30', '0.00', '0.00', '0.55', '0.54', '0.55']
['3.30', '3.30', '3.30', '0.00', '0.25', '0.46', '0.51']
['0.00', '3.30', '3.30', '3.30', '1.52', '0.94', '0.67']
['0.00', '3.30', '0.00', '3.30', '1.73', '1.01', '0.71']
['0.08', '3.30', '0.00', '0.00', '0.57', '0.54', '0.55']
['3.30', '3.30', '3.30', '0.00', '0.26', '0.46', '0.52']
['0.06', '3.30', '3.30', '3.30', '1.54', '0.95', '0.67']
['0.00', '3.30', '0.00', '3.30', '1.75', '1.01', '0.71']
['0.00', '3.30', '0.00', '0.00', '0.63', '0.57', '0.56']
['3.30', '2.01', '3.30', '0.00', '0.26', '0.45', '0.51']
['0.00', '3.30', '3.30', '3.30', '1.54', '0.93', '0.67']
