2856,1525,1104,491,371,736,2453
2576,1396,977,176,1105,1086,3407
1884,1110,841,82,1517,1318,4095
1675,1002,795,73,1651,1359,3965
2861,1447,967,198,974,951,2624
2299,1259,889,118,1472,1319,4095
1765,1021,784,73,1678,1403,4095
1677,955,750,70,1664,1318,3475
1874,960,714,39,1285,969,2257
2462,1200,770,54,1165,881,2000
2832,1294,797,52,1229,960,2391
2763,1331,838,91,1403,1123,2889
2093,1090,751,59,1712,1417,4095
1674,927,706,67,1738,1415,4074
1707,885,663,33,1548,1172,2910
2069,979,683,43,1283,934,2045
2642,1200,749,60,1217,914,2111
2838,1298,791,80,1296,1031,2629
2411,1203,787,94,1641,1347,3989
1817,975,711,76,1792,1462,4095
1691,906,688,74,1776,1391,3678
1823,907,667,64,1392,1038,2371
2450,1129,727,77,1225,904,1969
2837,1264,762,79,1264,971,2368
2846,1330,816,107,1408,1115,2790
2038,1066,738,86,1698,1417,4095
1712,918,688,74,1801,1453,4095
1726,894,670,63,1648,1257,3070
2001,944,656,55,1346,976,2182
2722,1220,752,82,1235,931,2163
2909,1302,784,84,1324,1030,2576
2557,1233,789,112,1606,1294,3578
1902,983,704,86,1783,1457,4095
1712,912,687,90,1703,1338,3535
1797,878,638,64,1426,1057,2477
2373,1094,711,78,1238,903,1938
2817,1250,751,85,1259,958,2292
2845,1360,849,149,1424,1152,2866
2155,1134,784,115,1744,1452,4095
1760,971,727,94,1846,1490,4095
1742,947,720,91,1724,1323,3214
2100,1047,739,91,1328,974,2083
2691,1262,798,96,1251,944,2093
2917,1351,832,113,1327,1040,2482
2671,1331,859,135,1563,1255,3274
1857,1044,778,128,1761,1462,4095
1718,975,749,107,1770,1397,3711
1769,927,701,75,1503,1125,2615
2282,1114,759,97,1290,941,1934
2835,1322,832,126,1275,988,2322
2832,1385,880,146,1417,1136,2741
2225,1173,816,128,1755,1454,4095
1761,991,753,113,1857,1498,4095
1717,960,745,112,1638,1270,3049
1995,1010,727,79,1335,983,2119
2600,1229,801,114,1253,943,2047
2866,1340,834,115,1325,1038,2458
2542,1297,866,144,1597,1301,3554
1872,1045,774,111,1793,1472,4095
1689,970,755,115,1833,1443,3871
1732,907,699,77,1587,1182,2786
2333,1147,781,111,1278,941,1950
2775,1307,830,117,1294,994,2295
2839,1351,848,119,1392,1103,2684
2293,1209,836,137,1754,1443,4095
1712,993,768,114,1809,1490,4095
1705,961,752,112,1702,1314,3226
1904,981,722,87,1404,1036,2243
2524,1218,802,114,1272,943,2015
2864,1360,854,142,1324,1051,2519
2642,1331,870,142,1563,1259,3313
1947,1074,776,97,1798,1471,4095
1701,976,757,118,1855,1474,4048
1756,931,712,82,1508,1140,2657
2278,1115,762,107,1285,942,1968
2773,1303,826,128,1286,979,2227
2891,1365,851,135,1381,1087,2624
2239,1185,831,135,1728,1434,4095
1753,1008,773,138,1849,1499,4095
1712,975,752,112,1761,1361,3365
