['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.74']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.74']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.74']
['0.00', '0.00', '0.26', '0.20', '0.52', '0.56', '0.75']
['0.00', '0.00', '0.26', '0.20', '0.52', '0.56', '0.76']
['0.00', '0.00', '0.26', '0.20', '0.52', '0.56', '0.76']
['0.00', '0.00', '0.26', '0.20', '0.52', '0.56', '0.76']
['0.00', '0.00', '0.25', '0.20', '0.52', '0.56', '0.76']
['0.00', '0.00', '0.26', '0.20', '0.52', '0.56', '0.75']
['0.00', '0.00', '0.26', '0.20', '0.52', '0.56', '0.76']
['0.00', '0.00', '0.26', '0.20', '0.52', '0.56', '0.76']
['0.00', '0.00', '0.26', '0.20', '0.52', '0.56', '0.76']
['0.00', '0.00', '0.26', '0.20', '0.52', '0.56', '0.76']
['0.00', '0.00', '0.26', '0.20', '0.52', '0.56', '0.76']
['0.00', '0.00', '0.26', '0.20', '0.52', '0.56', '0.76']
['0.00', '0.00', '0.26', '0.20', '0.52', '0.56', '0.76']
['0.00', '0.00', '0.26', '0.20', '0.52', '0.55', '0.75']
['0.00', '0.00', '0.26', '0.20', '0.52', '0.56', '0.75']
['0.00', '0.00', '0.26', '0.20', '0.52', '0.56', '0.76']
['0.00', '0.00', '0.26', '0.20', '0.52', '0.56', '0.76']
['0.00', '0.00', '0.26', '0.20', '0.52', '0.56', '0.75']
['0.00', '0.00', '0.25', '0.20', '0.52', '0.56', '0.76']
['0.00', '0.00', '0.25', '0.20', '0.52', '0.56', '0.75']
['0.00', '0.00', '0.25', '0.20', '0.52', '0.56', '0.75']
['0.00', '0.00', '0.25', '0.20', '0.52', '0.55', '0.75']
['0.00', '0.00', '0.25', '0.20', '0.51', '0.55', '0.74']
['0.00', '0.00', '0.25', '0.20', '0.51', '0.55', '0.74']
['0.00', '0.00', '0.25', '0.20', '0.51', '0.55', '0.74']
['0.00', '0.00', '0.25', '0.20', '0.51', '0.55', '0.74']
['0.00', '0.00', '0.25', '0.20', '0.51', '0.55', '0.74']
['0.00', '0.00', '0.25', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.25', '0.20', '0.51', '0.55', '0.74']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.25', '0.20', '0.51', '0.55', '0.74']
['0.00', '0.00', '0.25', '0.20', '0.51', '0.55', '0.74']
['0.00', '0.00', '0.25', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.25', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.25', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.25', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.25', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.25', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.25', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.25', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.25', '0.20', '0.51', '0.55', '0.74']
['0.00', '0.00', '0.25', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.25', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.25', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.25', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.25', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.25', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.25', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.25', '0.20', '0.51', '0.55', '0.72']
['0.00', '0.00', '0.25', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.25', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.25', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.25', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.25', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.25', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.25', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.72']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.25', '0.20', '0.51', '0.55', '0.72']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.72']
['0.00', '0.00', '0.25', '0.20', '0.51', '0.55', '0.72']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.72']
['0.00', '0.00', '0.25', '0.20', '0.51', '0.55', '0.72']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.72']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.72']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.72']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.72']
['0.00', '0.00', '0.25', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.72']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.72']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.72']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.72']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.73']
['0.00', '0.00', '0.26', '0.20', '0.51', '0.55', '0.72']
